Town,County,Latitude,Longitude,Elevation,Population
Tawnagh,Mayo,54.052778,-9.2858333,78,1797
Tawnagh Beg,Mayo,53.9422222,-9.1330556,88,1807
Tawnaghbeg,Mayo,53.9855556,-8.6138889,344,2129
Tawnaghmore,Mayo,54.1916667,-9.2036111,13,1278
Tawnaghmore,Mayo,54.047222,-9.1816667,91,1797
Tawnykinaff,Mayo,53.9333333,-9.2669444,252,1807
Tawnylaheen,Mayo,53.8875,-9.2697222,141,1806
Termoncarragh,Mayo,54.2513889,-10.0636111,127,685
Terrybaun,Mayo,53.9861111,-9.2416667,193,1806
The Triangle,Mayo,53.7666667,-9.4,288,1811
Tierna,Mayo,53.9011111,-9.6911111,0,905
Tobernaveen,Mayo,54.072222,-9.3205556,78,1797
Tomboholla,Mayo,53.9452778,-8.8213889,334,1981
Tooreen,Mayo,53.9033333,-9.7591667,0,897
Tooreen,Mayo,54.1147222,-9.3238889,131,1796
Toormore,Mayo,53.8983333,-9.1794444,104,1806
Treanagh,Mayo,54.1580556,-9.3288889,164,1793
Treannagleragh,Mayo,53.8536111,-9.0444444,219,1807
Treanybrogaun,Mayo,53.9308333,-9.1894444,95,1807
Trimoge Bridge,Mayo,53.9111111,-9.02,95,1806
Tristia,Mayo,54.1327778,-9.845,209,1648
Tullaghanbaun,Mayo,54.0666667,-9.9166667,0,727
Tullysleva,Mayo,54.0941667,-9.2066667,68,1796
Turlach,Mayo,53.8833333,-9.2166667,121,1806
Turlough,Mayo,53.8833333,-9.2166667,121,1806
Ummoon,Mayo,53.9444444,-9.1019444,78,1807
Valley,Mayo,54.0130556,-9.9611111,3,768
Westport,Mayo,53.8,-9.5166667,380,1722
Aghabog,Monaghan,54.1497222,-7.0894444,374,3434
Aghamackalinn,Monaghan,54.3916667,-7.0497222,823,4375
Aghlattacru,Monaghan,53.9441667,-6.7175,229,3725
Aghlaverty,Monaghan,54.2455556,-6.8991667,255,3602
Aghnafarcan,Monaghan,54.0633333,-6.7483333,508,3496
Aghnagap,Monaghan,54.2219444,-6.89,413,3602
Aghnamullen,Monaghan,54.0930556,-6.96,492,3358
Alkill,Monaghan,54.2505556,-6.8608333,236,4861
Allagesh,Monaghan,54.2625,-7.1133333,255,3439
Annaghroe Bridge,Monaghan,54.3386111,-6.8744444,216,5406
Annagleve,Monaghan,54.0902778,-6.7611111,501,3490
Annalittin,Monaghan,54.0891667,-6.6961111,465,4316
Annaseeragh,Monaghan,54.2280556,-6.8247222,406,5103
Annavalla,Monaghan,54.1591667,-6.7902778,482,3697
Ardaghy,Monaghan,54.2122222,-6.9052778,511,3602
Baile an Scotaigh,Monaghan,54.2775,-7.065,249,3476
Baile na Lorgan,Monaghan,54.1166667,-6.7333333,436,3491
Balladian,Monaghan,54.12,-6.9308333,433,3470
Ballaghnageam,Monaghan,53.9541667,-6.8225,439,3189
Ballinageeragh,Monaghan,54.1052778,-7.2086111,252,3008
Ballybay,Monaghan,54.1261111,-6.9005556,446,3487
Ballybay Cross Roads,Monaghan,54.0211111,-6.7830556,498,3505
Ballymackney,Monaghan,53.9575,-6.6630556,236,6616
Ballyrush,Monaghan,54.0122222,-6.5883333,206,6161
Bananimma,Monaghan,54.0744444,-6.8975,610,3412
Beal Atha Beithe,Monaghan,54.1261111,-6.9005556,446,3487
Beal Atha na Beithe,Monaghan,54.1261111,-6.9005556,446,3487
Bellanaman,Monaghan,54.3038889,-6.8816667,213,4155
Bellanode,Monaghan,54.2669444,-7.0341667,439,3476
Bellatrain,Monaghan,54.0402778,-6.8688889,449,3352
Bessbrook,Monaghan,54.1841667,-7.1422222,249,3415
Billis,Monaghan,54.2944444,-6.9311111,232,3542
Blackraw,Monaghan,54.1936111,-7.0325,501,3483
Braddocks,Monaghan,54.1983333,-6.8875,456,3483
Bradox,Monaghan,54.1983333,-6.8875,456,3483
Broomfield,Monaghan,54.0666667,-6.7002778,511,4200
Bryanhiller,Monaghan,54.2188889,-6.8380556,291,4203
Buiochar,Monaghan,54.1166667,-7.0166667,367,3200
Bulloghbrean,Monaghan,54.2147222,-7.1594444,242,3307
Burns Bridge,Monaghan,54.3694444,-6.9080556,239,4499
Buíochar,Monaghan,54.1166667,-7.0166667,367,3200
Béal Átha Beithe,Monaghan,54.1261111,-6.9005556,446,3487
Béal Átha na Beithe,Monaghan,54.1261111,-6.9005556,446,3487
Caldavnet,Monaghan,54.3255556,-7.0386111,629,3473
Calliagh,Monaghan,54.1805556,-7.0236111,501,3483
Cargaghlisnanarney,Monaghan,54.0294444,-6.6455556,272,4725
Carraig Mhachaire Rois,Monaghan,53.9727778,-6.7188889,262,3503
Carraskea,Monaghan,54.1461111,-7.2505556,232,3096
Carrickartagh,Monaghan,54.08333,-6.7977778,498,3494
Carrickaslane,Monaghan,54.1494444,-6.7563889,469,3697
Carrickmaclim,Monaghan,53.9813889,-6.7811111,400,3465
Carrickmacross,Monaghan,53.9727778,-6.7188889,262,3503
Carrickroe,Monaghan,54.3569444,-7.0277778,1295,3562
Carrigans,Monaghan,54.3205556,-6.9611111,249,3473
Carsons Bridge,Monaghan,54.2377778,-7.0280556,239,3480
Cashlan,Monaghan,54.0161111,-6.7427778,324,3506
Castleblayney,Monaghan,54.1166667,-6.7333333,436,3491
Castleshane,Monaghan,54.2380556,-6.8838889,269,3602
Cavan,Monaghan,54.2116667,-7.2102778,242,2952
Cavan,Monaghan,54.3994444,-7.0394444,921,4157
Cavanagarvan,Monaghan,54.19,-6.9888889,501,3483
Cloghernagh,Monaghan,54.2022222,-7.1019444,370,3468
Clones,Monaghan,54.1833333,-7.2333333,242,3168
Clonkirk,Monaghan,54.1913889,-7.2247222,242,3168
Clonoula,Monaghan,54.1555556,-7.3166667,393,2863
Clontibret,Monaghan,54.2036111,-6.8383333,433,3608
Clontoe,Monaghan,54.2733333,-7.0258333,239,3476
Cluain Eois,Monaghan,54.1833333,-7.2333333,242,3168
Coolcorragh,Monaghan,54.2058333,-7.0569444,482,3483
Coolmannan,Monaghan,54.1363889,-6.8297222,469,3529
Corfad,Monaghan,54.1358333,-6.9111111,429,3487
Corgreagh,Monaghan,54.0186111,-6.9288889,475,2891
Corlat,Monaghan,54.1966667,-7.0966667,370,3468
Corlealackagh,Monaghan,54.1455556,-6.8188889,479,3529
Corlougharoe,Monaghan,54.1458333,-7.1091667,252,3434
Corragarry Cross Roads,Monaghan,54.1144444,-7.1638889,252,3111
Corraghbrack,Monaghan,54.3041667,-6.9869444,321,3473
Corryarbeg,Monaghan,54.3555556,-7.0608333,482,3768
Cortaghart,Monaghan,54.0613889,-6.8930556,492,3412
Cortober,Monaghan,54.0391667,-6.9255556,426,2891
Cortolym Bridge,Monaghan,54.2402778,-6.9869444,249,3480
Corvally,Monaghan,53.9947222,-6.8522222,495,3051
Corvoy,Monaghan,54.1638889,-6.8983333,498,3487
Creaghanroe,Monaghan,54.1666667,-6.7333333,498,4943
Creeran,Monaghan,54.1208333,-7.1611111,252,3111
Creevagh,Monaghan,54.1486111,-6.9252778,452,3487
Creeve,Monaghan,54.0955556,-6.9116667,705,3490
Creeve,Monaghan,54.1861111,-6.8452778,521,3608
Creevelands,Monaghan,54.1027778,-6.895,534,3490
Creevelea,Monaghan,54.1855556,-7.1641667,232,3415
Cremoyle,Monaghan,54.1577778,-6.9833333,462,3474
Crossbane,Monaghan,54.1419444,-7.1936111,508,3419
Cuil Darach,Monaghan,54.1563889,-7.135,282,3444
Culloville,Monaghan,54.0522222,-6.6661111,351,5474
Cúil Darach,Monaghan,54.1563889,-7.135,282,3444
Darraghlan,Monaghan,54.1838889,-6.9602778,495,3483
Dernagola,Monaghan,54.3863889,-7.0363889,1581,4157
Derrygola,Monaghan,54.3391667,-7.091667,636,4189
Derrygorry,Monaghan,54.4088889,-7.05,436,4375
Derrylea,Monaghan,54.2758333,-7.1316667,590,3275
Derrylea,Monaghan,54.3738889,-7.0236111,1584,3562
Doohamlat,Monaghan,54.1263889,-6.8219444,475,3529
Doohamlet,Monaghan,54.1263889,-6.8219444,475,3529
Doohat,Monaghan,54.1241667,-7.1319444,249,3111
Dorothys Cross Roads,Monaghan,54.1433333,-7.2127778,423,3273
Dromore,Monaghan,54.1566667,-6.9597222,459,3474
Dromore,Monaghan,54.1144444,-6.675,459,4316
Drum,Monaghan,54.1027778,-7.1411111,252,3111
Drumacreeve,Monaghan,54.1272222,-7.1469444,252,3444
Drumacreeve,Monaghan,54.1372222,-7.0266667,393,3444
Drumacrib,Monaghan,54.1469444,-6.6633333,498,6008
Drumakill,Monaghan,54.12,-6.6722222,459,4316
Drumaveale,Monaghan,54.1141667,-7.2877778,259,2872
Drumcattan,Monaghan,54.0108333,-6.6330556,249,4725
Drumcoo,Monaghan,54.3083333,-7.1136111,1049,3639
Drumgolat,Monaghan,54.2447222,-6.8430556,249,4203
Drumgoole,Monaghan,54.2772222,-6.9086111,213,3862
Drummanreagh,Monaghan,54.0475,-6.73,498,3496
Drumnagrella,Monaghan,53.99,-6.6052778,229,6614
Drumneill,Monaghan,54.2511111,-6.8363889,321,4861
Drumreask,Monaghan,54.2591667,-7.083333,305,3476
Drumscor,Monaghan,54.3055556,-7.0797222,413,3508
Drumsloe,Monaghan,54.1391667,-7.3144444,383,2863
Drumsmat Bridge,Monaghan,54.2227778,-7.0527778,295,3480
Dundian Cross Roads,Monaghan,54.3555556,-7.055556,482,3768
Dundrannan Cross Roads,Monaghan,54.1452778,-6.9919444,416,3474
Dunmaurice,Monaghan,54.1352778,-6.8694444,446,3487
Dunraymond,Monaghan,54.1738889,-6.9127778,495,3483
Edenancane,Monaghan,54.1266667,-6.9419444,413,3487
Edergole,Monaghan,54.1208333,-7.0588889,324,3103
Emyvale,Monaghan,54.3405556,-6.9591667,144,3650
Faulkland,Monaghan,54.2833333,-6.92,219,3483
Feegavla,Monaghan,54.086111,-6.6563889,393,6000
Feragh,Monaghan,54.2055556,-6.9375,508,3483
Garran Cross Roads,Monaghan,54.1716667,-7.0672222,505,3483
Garrybane,Monaghan,54.0669444,-6.9319444,498,3262
Glannan,Monaghan,54.3266667,-6.9158333,213,4155
Glasloch,Monaghan,54.3186111,-6.895,213,4155
Glaslough,Monaghan,54.3186111,-6.895,213,4155
Glasslough,Monaghan,54.3186111,-6.895,213,4155
Glen,Monaghan,54.1166667,-7.1238889,249,3106
Glenbrook,Monaghan,54.1797222,-7.1258333,282,3415
Glencorick,Monaghan,54.1230556,-7.0305556,367,3200
Glennan,Monaghan,54.3266667,-6.9158333,213,4155
Greaghlatacapple,Monaghan,54.0102778,-6.8202778,498,3482
Greenans Cross Roads,Monaghan,54.1925,-7.0769444,498,3483
Greenan?s Cross Roads,Monaghan,54.1925,-7.0769444,498,3483
Inis Caoin,Monaghan,54,-6.5833333,190,8264
Inishkeen,Monaghan,54,-6.5833333,190,8264
Iniskeen,Monaghan,54,-6.5833333,190,8264
Inniskeen,Monaghan,54,-6.5833333,190,8264
Kildoagh,Monaghan,54.2586111,-6.8933333,209,3862
Killeevan,Monaghan,54.1733333,-7.1511111,262,3415
Killina,Monaghan,54.2066667,-7.0838889,374,3468
Killycrom,Monaghan,54.1277778,-6.7880556,492,3697
Killyleg,Monaghan,54.1358333,-7.1827778,442,3419
Killyneill Cross Roads,Monaghan,54.2633333,-6.8755556,216,3862
Kilmore,Monaghan,54.1325,-7.0758333,351,3424
Kilnamaddy,Monaghan,54.1925,-7.1427778,242,3415
Kiltybegs,Monaghan,53.9975,-6.6416667,246,5086
Knockcor,Monaghan,54.3225,-7.072222,498,3508
Knocks,Monaghan,54.0980556,-7.2522222,278,2872
Laragh,Monaghan,54.0452778,-6.7736111,495,3494
Latnamard,Monaghan,54.1741667,-7.0580556,498,3483
Lattacrom,Monaghan,54.0669444,-6.8427778,498,3478
Latton,Monaghan,54.0697222,-6.9480556,501,3262
Leitrim,Monaghan,54.2702778,-6.8897222,209,3862
Lemgare,Monaghan,54.2025,-6.7911111,498,4682
Lemgare Rocks,Monaghan,54.1919444,-6.7697222,498,4682
Lennaght,Monaghan,54.285,-7.1627778,387,3275
Lisdoonan,Monaghan,54.0263889,-6.7511111,485,3505
Lisgall,Monaghan,54.063889,-6.7263889,501,3496
Lisgillan,Monaghan,54.1211111,-6.9752778,390,3358
Lislea,Monaghan,54.1127778,-7.2530556,282,2872
Lisnadarragh,Monaghan,54.0158333,-6.8866667,498,3121
Lisnagreeve,Monaghan,54.1697222,-6.7502778,495,4682
Lisnalee,Monaghan,54.1208333,-7.2333333,426,3008
Lisnalong,Monaghan,54.0886111,-7,429,3358
Lurganboy,Monaghan,54.1216667,-7.1941667,357,3086
Lurganearly,Monaghan,54.1583333,-6.6388889,482,6008
Magheracloone,Monaghan,53.9388889,-6.7855556,206,3505
Magherarny Cross Roads,Monaghan,54.2155556,-7.1122222,249,3439
Magherashaghry,Monaghan,54.1011111,-7.1758333,252,3086
Magheross,Monaghan,53.9727778,-6.7188889,262,3503
Magoney Bridge,Monaghan,54.0261111,-6.6144444,252,6161
McNallys Cross Roads,Monaghan,54.1486111,-6.845,475,3487
McNally?s Cross Roads,Monaghan,54.1486111,-6.845,475,3487
Mill Town,Monaghan,54.1366667,-6.6913889,462,4401
Monaghan,Monaghan,54.25,-6.9666667,232,3480
Monalia,Monaghan,54.0286111,-6.7275,324,3506
Monneill,Monaghan,54.1247222,-7.033333,367,3200
Moy,Monaghan,54.4005556,-6.9755556,147,4264
Moy Bridge,Monaghan,54.4005556,-6.9755556,147,4264
Moyle,Monaghan,54.0825,-6.9561111,495,3262
Moylemuck,Monaghan,54.0802778,-7.083333,275,2681
Moyles,Monaghan,54.2308333,-6.9144444,436,3602
Moyles,Monaghan,54.077778,-6.6011111,377,6915
Muineachan,Monaghan,54.25,-6.9666667,232,3480
Muineachán,Monaghan,54.25,-6.9666667,232,3480
Mullaloughan,Monaghan,54.2891667,-6.9347222,232,3483
Mullan,Monaghan,54.3630556,-6.9202778,209,3969
Mullanacross,Monaghan,54.3880556,-6.9841667,180,4264
Nart,Monaghan,54.2358333,-7.1391667,249,3307
Newbliss,Monaghan,54.1563889,-7.135,282,3444
Ouvry Cross Roads,Monaghan,54.0144444,-6.8436111,498,3352
Raconnell,Monaghan,54.2669444,-7.0188889,295,3476
Radeerpark,Monaghan,54.1519444,-7.1883333,498,3419
Radrum,Monaghan,54.1813889,-6.9547222,495,3483
Raferagh,Monaghan,53.9783333,-6.8388889,498,3051
Rahans,Monaghan,53.9927778,-6.655,246,5086
Rockcorry,Monaghan,54.1166667,-7.0166667,367,3200
Rockfield,Monaghan,54.1113889,-7.2172222,298,3008
Rossarrell,Monaghan,54.3125,-6.9241667,226,3542
Rossmore,Monaghan,54.2358333,-6.9877778,288,3480
Scairbh na gCaorach,Monaghan,54.3405556,-6.9591667,144,3650
Scotch Corner,Monaghan,54.1788889,-6.8672222,511,3608
Scotshouse,Monaghan,54.1219444,-7.2475,255,3008
Scotstown,Monaghan,54.2775,-7.065,249,3476
Selloo,Monaghan,54.2533333,-7.1252778,249,3275
Shanco,Monaghan,54.3591667,-6.9669444,95,3650
Shanco,Monaghan,53.9961111,-6.8369444,508,3051
Shanmullagh,Monaghan,54.1855556,-6.9036111,498,3483
Shantonagh,Monaghan,54.0502778,-6.8505556,462,3478
Sheetrim,Monaghan,54.0961111,-6.7861111,498,3490
Sheskin,Monaghan,54.2916667,-7.1166667,1003,3639
Slieveroe,Monaghan,54.1752778,-6.9952778,498,3483
Smithborough,Monaghan,54.2233333,-7.0908333,242,3439
Stone Bridge,Monaghan,54.2,-7.1666667,239,3334
Swans Cross Roads,Monaghan,54.1463889,-7.097222,331,3434
Tallyvogy,Monaghan,54.2813889,-7.011111,308,3476
Tamlat,Monaghan,54.27,-6.8719444,216,4861
Tattyboy,Monaghan,54.0230556,-6.6211111,255,6161
Tedavnet,Monaghan,54.2963889,-7.0138889,452,3473
The Rock,Monaghan,54.2927778,-7.0958333,449,3639
Thornford,Monaghan,54.0772222,-6.6958333,469,4200
Tirnaneill Cross Roads,Monaghan,54.2866667,-6.9663889,242,3476
Tonagh,Monaghan,54.1586111,-7.0316667,465,3444
Tonyglassan,Monaghan,54.1191667,-6.86,475,3490
Tossy,Monaghan,54.0797222,-6.8491667,501,3478
Tullanacrunat,Monaghan,54.0713889,-6.6741667,351,4200
Tullycarragh,Monaghan,54.1036111,-6.8030556,498,3490
Tullychattina,Monaghan,54.1305556,-6.6613889,501,6008
Tullylougherny,Monaghan,53.9511111,-6.7772222,190,3505
Tullynageer,Monaghan,54.1825,-6.7002778,606,5362
Tullynamalra Cross Roads,Monaghan,54.0572222,-6.8183333,485,3494
Tullyvaragh Lower,Monaghan,54.0244444,-6.7061111,298,3836
Tullyvin,Monaghan,54.1058333,-6.7333333,456,3491
Agall,Offaly,53.2561111,-7.6016667,246,2654
Aharney,Offaly,53.3044444,-7.5847222,232,2666
An Clochan,Offaly,53.2216667,-7.8841667,249,2657
An Clochán,Offaly,53.2216667,-7.8841667,249,2657
An Daingean,Offaly,53.2961111,-7.2894444,278,2653
An Fear Ban,Offaly,53.2694444,-7.8269444,206,2654
An Féar Bán,Offaly,53.2694444,-7.8269444,206,2654
Annaghbrack,Offaly,53.1802778,-7.5766667,311,2705
Annamoe,Offaly,53.1525,-7.255,298,2714
Attinkee,Offaly,53.2083333,-7.9236111,301,2667
Ballaghassaan,Offaly,53.2616667,-7.1944444,269,2654
Ballard,Offaly,53.2505556,-7.5072222,249,2659
Ballinagar,Offaly,53.2644444,-7.335,278,2655
Ballincor,Offaly,53.0205556,-7.9416667,249,2721
Ballincur,Offaly,53.2769444,-7.6619444,236,2654
Ballyboy,Offaly,53.1730556,-7.6961111,255,2662
Ballybrin,Offaly,53.05,-7.7963889,465,2668
Ballybrittan,Offaly,53.3433333,-7.1355556,364,2819
Ballybryan,Offaly,53.3591667,-7.1488889,390,2819
Ballycollin,Offaly,53.1611111,-7.7208333,282,2661
Ballycollin,Offaly,53.2372222,-7.3875,288,2684
Ballycommon,Offaly,53.2936111,-7.3633333,331,2723
Ballycowan Bridge,Offaly,53.2752778,-7.5522222,236,2655
Ballycumber,Offaly,53.3244444,-7.6827778,226,2665
Ballydaly,Offaly,53.2775,-7.7766667,206,2654
Ballyduff,Offaly,53.2461111,-7.2927778,282,2664
Ballyeighan,Offaly,53.0494444,-7.9077778,249,2690
Ballyfarrell,Offaly,53.2352778,-7.6430556,249,2658
Ballyfore,Offaly,53.3213889,-7.1177778,331,2799
Ballygaddy Cross Roads,Offaly,53.0405556,-7.8063889,495,2682
Ballyheashill,Offaly,53.3694444,-7.15,393,2819
Ballyhugh,Offaly,53.3097222,-7.2344444,298,2651
Ballykean,Offaly,53.2266667,-7.2916667,282,2664
Ballykilleen,Offaly,53.2977778,-7.0922222,288,2799
Ballykilleen Cross Roads,Offaly,53.3163889,-7.1075,314,2799
Ballylevin,Offaly,53.215,-7.3886111,324,2684
Ballymacoolaghan,Offaly,53.1886111,-8.0408333,180,2695
Ballymullen,Offaly,53.3016667,-7.3155556,351,2673
Ballynakill,Offaly,53.2552778,-7.2569444,278,2654
Ballynasrah,Offaly,53.2902778,-7.5658333,236,2655
Ballyshane,Offaly,53.0872222,-7.7552778,547,2664
Ballyshear,Offaly,53.1913889,-7.2777778,298,2675
Ballywhire,Offaly,53.1861111,-7.8077778,219,2660
Ballywilliam,Offaly,53.1083333,-7.8766667,242,2686
Banagher,Offaly,53.1886111,-7.9866667,351,2682
Barna,Offaly,52.9277778,-7.9494444,360,2696
Barnaboy,Offaly,53.3155556,-7.3680556,416,2723
Barnan,Offaly,53.3255556,-7.3236111,531,2673
Barrysbrook,Offaly,53.3441667,-7.2477778,508,2686
Beal Atha Chomair,Offaly,53.3244444,-7.6827778,226,2665
Beannchar,Offaly,53.1886111,-7.9866667,351,2682
Behanamuck,Offaly,53.2075,-7.7216667,236,2660
Bellmount,Offaly,53.255,-7.8936111,196,2654
Belmont,Offaly,53.255,-7.8936111,196,2654
Biorra,Offaly,53.0913889,-7.9133333,226,2686
Birr,Offaly,53.0913889,-7.9133333,226,2686
Blue Ball,Offaly,53.2244444,-7.6138889,255,2661
Boheraphuca,Offaly,53.0191667,-7.7575,547,2681
Bohernagrisna,Offaly,53.3213889,-7.6683333,229,2665
Bolart Bridge,Offaly,53.3413889,-7.6488889,229,2692
Boolinaig Bridge,Offaly,53.1336111,-7.8880556,229,2669
Brackagh,Offaly,53.3069444,-7.7113889,219,2699
Brackagh,Offaly,53.2652778,-7.215,272,2654
Brackagh,Offaly,53.2105556,-7.1005556,246,3275
Brackay,Offaly,53.2125,-7.805,216,2657
Bracknagh,Offaly,53.2105556,-7.1005556,246,3275
Breaghmore,Offaly,53.0863889,-7.8025,344,2664
Brookes Cross Roads,Offaly,52.9797222,-7.9808333,436,2747
Brooklawn,Offaly,52.9319444,-7.8772222,446,2715
Brosna,Offaly,52.9894444,-7.8875,249,2683
Brosna Bridge,Offaly,53.3322222,-7.6736111,229,2665
Broughal,Offaly,53.1905556,-7.7752778,223,2660
Bunakeeran,Offaly,53.225,-7.6766667,249,2657
Béal Átha Chomair,Offaly,53.3244444,-7.6827778,226,2665
Cadamstown,Offaly,53.1252778,-7.6583333,518,2686
Cangort,Offaly,52.9888889,-7.9702778,360,2747
Cappagowlan,Offaly,53.1763889,-7.6569444,265,2675
Cappanageeragh,Offaly,53.2722222,-7.3669444,272,2655
Capppancur,Offaly,53.27,-7.4316667,242,2668
Cappyroe,Offaly,53.2758333,-7.3902778,249,2661
Carrick,Offaly,53.1930556,-7.9019444,262,2660
Cartland Bridge,Offaly,53.3411111,-7.1055556,351,3367
Castletown,Offaly,53.0688889,-7.8394444,328,2668
Castletown,Offaly,53.3144444,-7.7511111,387,2725
Charlestown,Offaly,53.3397222,-7.6030556,232,2737
Cill Aichidh,Offaly,53.2133333,-7.4494444,351,2679
Cill Chormaic,Offaly,53.1741667,-7.7255556,249,2660
Cionn Eitigh,Offaly,53.0955556,-7.7213889,534,2664
Clara,Offaly,53.3425,-7.6138889,232,2737
Clareen,Offaly,53.0705556,-7.7955556,403,2668
Cloghal,Offaly,53.2508333,-7.9761111,180,2658
Cloghan,Offaly,53.2216667,-7.8841667,249,2657
Cloghatanny,Offaly,53.345,-7.6752778,229,2759
Cloirtheach,Offaly,53.3425,-7.6138889,232,2737
Clonaderg,Offaly,53.3375,-7.8861111,305,2743
Clonarrow,Offaly,53.2852778,-7.2569444,275,2654
Clonavoe,Offaly,53.2580556,-7.1516667,259,2654
Clonbrown,Offaly,53.2558333,-7.0655556,255,3401
Clonbulloge,Offaly,53.2616667,-7.0880556,249,2720
Cloncanon,Offaly,53.3225,-7.0477778,301,3443
Cloncreen,Offaly,53.27,-7.1225,252,2720
Clondelara,Offaly,53.27,-7.9941667,180,2658
Cloneen,Offaly,53.3469444,-7.35,469,2894
Clonlack,Offaly,53.3325,-7.1922222,367,2651
Clonmacnoise,Offaly,53.3252778,-7.9794444,193,2402
Clonmore,Offaly,53.2672222,-7.3825,252,2661
Clonmore,Offaly,53.3861111,-7.1269444,377,3217
Clonmore Cross Roads,Offaly,53.3802778,-7.1077778,364,3889
Clonona,Offaly,53.2352778,-7.925,219,2672
Clonony,Offaly,53.2352778,-7.925,219,2672
Clonroosk,Offaly,53.25,-7.0680556,252,4213
Clonsast,Offaly,53.21,-7.15,255,2925
Clonsast Lower,Offaly,53.21,-7.15,255,2925
Clonygowan,Offaly,53.1875,-7.2788889,301,2675
Clonyquin,Offaly,53.175,-7.2894444,308,2675
Clortrane,Offaly,53.3013889,-8.0122222,183,2249
Cluain Bolg,Offaly,53.2616667,-7.0880556,249,2720
Cluain Mnic Nois,Offaly,53.3252778,-7.9794444,193,2402
Cluain Mnic Nóis,Offaly,53.3252778,-7.9794444,193,2402
Cluain na nGamhan,Offaly,53.1875,-7.2788889,301,2675
Clóirtheach,Offaly,53.3425,-7.6138889,232,2737
Codd,Offaly,53.3052778,-7.0411111,278,4894
Coffeys Cross Bridge,Offaly,53.0516667,-7.8694444,291,2668
Coffey?s Cross Bridge,Offaly,53.0516667,-7.8694444,291,2668
Cogran,Offaly,53.1816667,-8.0236111,183,2695
Coolaghansglaster,Offaly,53.1369444,-7.9705556,203,2709
Coolcor,Offaly,53.3675,-7.2138889,446,2686
Coolderry,Offaly,53.083333,-7.8391667,272,2668
Coole,Offaly,53.3297222,-7.2536111,462,2653
Corndarragh,Offaly,53.2888889,-7.4513889,249,2668
Corolanty,Offaly,53.091667,-7.9277778,223,2730
County Bridge,Offaly,53.1383333,-7.6416667,521,2686
Cranereagh Bridge,Offaly,53.1952778,-7.8819444,246,2660
Cree,Offaly,53.0597222,-7.8577778,295,2668
Creggan,Offaly,53.285,-7.8663889,203,2654
Crinkill,Offaly,53.0772222,-7.8972222,242,2690
Crinkle,Offaly,53.0772222,-7.8972222,242,2690
Croghan,Offaly,53.3405556,-7.2772222,639,2729
Cross Keys Cross Roads,Offaly,53.2436111,-7.3772222,272,2684
Cullenwane Cross Roads,Offaly,52.8969444,-7.9708333,426,2738
Cully,Offaly,53.24,-7.6561111,246,2658
Cumber Lower,Offaly,53.0772222,-7.7275,633,2673
Curragh,Offaly,53.2430556,-7.3438889,265,2677
Curralanty Cross Roads,Offaly,53.08333,-7.9244444,226,2742
Cushaling,Offaly,53.2897222,-7.0458333,262,3401
Cushina,Offaly,53.1944444,-7.1652778,262,3144
Daingean,Offaly,53.2961111,-7.2894444,278,2653
Derrics,Offaly,53.3058333,-7.6158333,232,2666
Derries,Offaly,53.3113889,-7.0180556,259,4894
Derrooly,Offaly,53.2608333,-7.6527778,242,2654
Derrybrat,Offaly,53.2016667,-7.7775,223,2660
Derrycarney,Offaly,53.2394444,-7.7861111,206,2657
Derryclure,Offaly,53.2377778,-7.4763889,265,2674
Derrycoffey,Offaly,53.3611111,-7.3266667,498,2805
Derrycooly,Offaly,53.2638889,-7.6738889,236,2654
Derrydolney,Offaly,53.1908333,-7.7144444,239,2660
Derrygawny,Offaly,53.4111111,-7.2011111,429,2959
Derrygolan,Offaly,53.3283333,-7.4736111,252,2799
Derrygreenagh,Offaly,53.3908333,-7.2797222,442,2902
Derrygrogan,Offaly,53.3075,-7.3869444,364,2782
Derryharney,Offaly,53.3008333,-7.9508333,196,2549
Derrylesk,Offaly,53.2711111,-7.2452778,272,2654
Derrynagun,Offaly,53.2952778,-7.7286111,216,2699
Derryounce,Offaly,53.1830556,-7.1994444,275,2834
Derryrobinson,Offaly,53.2763889,-7.1855556,265,2654
Derryvilla,Offaly,53.1780556,-7.1802778,269,2834
Doon Cross Road,Offaly,53.3302778,-7.8188889,501,2731
Drinagh,Offaly,53.1894444,-7.8413889,229,2660
Drinagh,Offaly,53.1541667,-7.6816667,295,2666
Droichead na Sionainne,Offaly,53.2777778,-8.0372222,183,2577
Drumcooly,Offaly,53.3202778,-7.0722222,305,3443
Drumcullen Bridge,Offaly,53.1041667,-7.7361111,331,2664
Dunkerrin,Offaly,52.9122222,-7.9088889,498,2770
Eaden Doire,Offaly,53.3452778,-7.0497222,318,4368
Edenderry,Offaly,53.3452778,-7.0497222,318,4368
Erry,Offaly,53.3294444,-7.6244444,232,2666
Esker,Offaly,53.2944444,-7.1636111,272,2658
Esker Bridge,Offaly,53.2944444,-7.1636111,272,2658
Eskerbreague,Offaly,53.3397222,-7.7983333,482,2913
Fahy,Offaly,53.1711111,-8.1705556,213,2855
Ferbane,Offaly,53.2694444,-7.8269444,206,2654
Five Roads Cross,Offaly,53.1713889,-7.9444444,321,2667
Fivealley,Offaly,53.15,-7.8358333,232,2661
Fortel,Offaly,53.0772222,-7.8322222,324,2668
Frankford,Offaly,53.1666667,-7.7333333,255,2660
Gahagans Village,Offaly,53.2877778,-7.9052778,193,2654
